COMP ID,S100/8123,S101/8118,S102/8145,S103/8150,S104/8162,S105/8151,S106/8079,S107/8192,S108/8103,S109/8446,S110/8096,S111/8449,S112/8459,S113/8451,S114/8452,S115/8234,S116/8209,S117/8026,S118/8490,S119/8130,S120/8477,S121/8264,S122/8134,S123/8176,S124/8220,S125/8210,S126/8135,S127/8112,S128/8202,S129/8204,S130/8507,S131/8274,S132/8297,S133/8222,S134/8546,S135/8381,S136/8391,S137/8574,S138/8047,S139/8583,S140/8013,S141/8080,S142/8621,S143/8071,S144/8417,S145/8371,S146/8430,S147/8639,S148/8242,S149/8312
HMDB11178,"2,574,235","862,275","547,218","761,567","580,136","533,274","582,113","1,160,455","581,155","619,630","489,446","2,242,754","740,269","638,258","741,278","885,469","930,941","523,738","592,283","717,368","560,834","917,623","556,081","470,422","1,020,785","883,284","740,553","679,527","1,170,821","682,468","978,521","2,977,650","928,486","582,165","1,641,074","734,717","730,183","2,255,313","918,832","1,425,927","3,161,244","1,186,491","910,153","766,277","1,145,062","554,758","1,313,165","710,671","844,492","950,732"
HMDB00824,"63,526,604","30,306,188","34,321,460","36,149,572","39,693,916","57,387,120","50,745,296","52,200,744","29,091,084","13,389,493","36,096,964","49,651,768","34,659,552","52,610,072","47,955,880","42,909,068","37,070,520","19,750,336","38,185,636","31,167,592","29,561,654","47,021,840","41,133,204","32,313,244","18,576,012","51,512,048","49,584,436","46,630,664","75,033,488","26,130,404","63,521,772","67,843,120","30,235,280","42,498,892","40,192,324","28,822,036","36,694,292","23,855,700","35,754,000","89,256,864","51,815,740","23,999,132","29,863,300","36,111,384","58,653,088","36,736,208","41,650,156","66,041,284","42,157,568","31,173,654"
HMDB00783,"471,534","368,868","134,313","113,198","214,718","837,369","244,392",,"719,448","538,107","164,245","275,849","61,667","837,221","570,909","173,761","375,078","301,309","706,437","148,709","325,760","424,004","118,463","361,344","283,668","482,745","437,045","149,419","321,337","385,806","466,072","276,321","415,866","101,471","259,824","147,701","536,968","835,165","486,187","201,650","800,835","320,557","690,056","182,598","574,274","155,813","332,646","311,543","540,080","159,842"
,"500,576","1,221,409",,"2,188,059","140,965","351,315","3,667,194",,"415,010",,"59,491","22,675","25,976","265,233","511,254",,,"6,303,929",,"304,105",,,"2,652,174","7,913,473",,"372,166",,"2,705,428","2,100,288",,,"460,351",,"960,847",,"40,669",,,,,,"249,282",,"310,249",,,,"238,587",,
HMDB00767,"11,867,449","11,753,939","10,059,080","15,693,866","11,314,165","12,984,796","10,605,714","9,700,269","8,239,635","11,265,243","10,476,732","10,451,856","13,537,552","12,992,474","10,925,951","9,587,434","13,279,419","12,393,168","12,122,302","12,150,549","12,974,973","11,585,635","12,035,546","11,042,634","16,865,804","13,506,146","10,273,288","9,799,223","14,150,227","9,308,181","14,307,433","11,084,212","10,501,247","10,782,768","17,370,084","9,703,655","12,833,539","10,929,975","11,746,287","10,316,259","10,243,680","11,021,903","14,288,249","10,841,175","11,389,457","11,022,620","14,063,740","10,278,453","11,257,579","12,690,358"
HMDB01545,"896,355","963,217","1,012,438","1,022,577","865,305","960,990","911,730","1,081,005","2,795,919","901,259","951,439","2,179,134","980,072","1,070,257","930,805","12,201,280","1,172,119","730,371","898,818","890,959","878,492","963,665","921,080","851,624","919,868","965,693","906,500","925,541","912,204","1,148,353","1,292,577","1,099,682","904,316","1,025,165","1,004,719","1,025,144","911,070","636,986","1,037,575","850,889","973,421","881,615","1,001,310","912,152","991,587","901,780","1,018,295","1,025,501","904,325","1,255,581"
HMDB00017,"1,502,782","2,132,238","586,740","2,552,453","2,474,279","3,383,721","1,077,621","4,757,801","40,279,640","1,223,366","1,331,709","20,391,748","3,203,353","2,375,476","1,663,088","73,150,416","3,913,440","718,948","2,559,925","1,805,543","2,016,592","2,495,280","1,276,333","1,628,596","2,705,725","2,822,931","1,402,320","3,165,657","1,178,660","3,368,065","10,527,966","2,372,454","1,834,318","2,754,309","3,615,302","3,884,465","1,919,089","1,476,348","4,581,300","2,714,934","1,049,924","2,220,259","1,127,907","1,837,295","2,305,277","778,001","4,255,276","1,679,639","1,488,760","2,969,514"
,"64,240,016","394,168,288","395,689,728","165,305,376","89,778,160","180,261,344","189,524,208","178,970,288","55,553,688","42,843,816","502,758,144","33,264,996","64,478,120","124,151,864","355,427,584","179,862,896","212,911,040","180,256,352","32,767,956","155,088,944","93,607,080","196,380,832","187,950,304","42,590,040","97,197,560","72,693,152","101,867,856","40,951,160","293,692,064","204,880,480","290,508,608","157,657,232","290,376,544","46,865,888","120,086,904","60,334,532","214,795,632","51,211,564","326,158,240","135,198,096","170,696,880","53,157,176","149,859,040","63,712,232","55,653,780","122,897,224","257,605,072","86,938,872","98,584,688","165,051,216"
HMDB33143,"57,521","291,240","42,328","110,667","72,360","420,128","289,134","39,160","72,745",,"235,767","95,680","54,296","228,636","129,097","32,026","315,807","92,226","228,451","150,987","196,458","125,963","178,337","66,410","84,681","442,269","359,612","48,659","198,206","205,633","215,597","304,169",,"67,506","140,060","63,206","257,477","113,363","392,038","187,297","165,969","52,778","138,288","42,154","96,414","87,808","288,132","43,893","76,547","335,426"
HMDB00243,"294,571,584","249,193,696","212,315,248","201,221,744","195,771,472","185,225,584","221,318,320","332,441,920","155,498,048","201,549,888","226,671,936","194,492,912","216,022,304","193,763,888","78,317,600","231,814,000","247,911,760","157,337,328","228,252,592","166,635,552","177,769,376","148,711,584","175,432,480","205,622,224","197,399,808","207,642,288","150,004,576","146,540,656","185,838,176","182,327,056","126,067,808","183,822,096","166,052,848","242,041,344","172,627,648","299,056,192","143,061,808","160,990,848","165,118,032","312,598,592","235,779,408","113,255,032","127,763,240","172,322,160","182,221,904","220,965,504","208,520,928","203,423,392","167,396,752","132,930,768"
